dataset,selector,total_prompt_count,coverage_prompt_count,top1_rate,mean_selected_error,median_selected_error,mean_improvement_vs_persistence,positive_improvement_rate,direction_match_rate,coverage_rate
train_all_batches,random_expected,300,300,0.24655555555555556,0.13076403888888885,,-0.004011372222222221,0.31555555555555553,0.31955555555555554,1.0
train_all_batches,gemma_recommended,300,284,0.49295774647887325,0.13283873239436617,0.09749999999999995,-0.007525352112676056,0.31690140845070425,0.3204225352112676,0.9466666666666667
train_all_batches,first_candidate,300,300,0.5033333333333333,0.13430099999999998,0.09870000000000001,-0.007548333333333333,0.36,0.36333333333333334,1.0
train_all_batches,max_confidence,300,300,0.5133333333333333,0.1307733333333333,0.09484999999999996,-0.00402066666666667,0.25333333333333335,0.25666666666666665,1.0
train_all_batches,max_posterior,300,300,0.5933333333333334,0.13338866666666663,0.09634999999999995,-0.006635999999999999,0.3466666666666667,0.35,1.0
train_all_batches,min_posterior,300,300,0.6566666666666666,0.12880833333333327,0.08975,-0.0020556666666666696,0.31666666666666665,0.3233333333333333,1.0
train_all_batches,max_abs_update,300,300,0.6166666666666667,0.13372099999999995,0.09565,-0.006968333333333332,0.38666666666666666,0.3933333333333333,1.0
train_all_batches,min_abs_update,300,300,0.47333333333333333,0.12891099999999997,0.09239999999999995,-0.002158333333333334,0.17333333333333334,0.17666666666666667,1.0
train_all_batches,max_positive_update,300,300,0.5933333333333334,0.13338866666666663,0.09634999999999995,-0.006635999999999999,0.3466666666666667,0.35,1.0
train_all_batches,max_negative_update,300,300,0.6566666666666666,0.12880833333333327,0.08975,-0.0020556666666666696,0.31666666666666665,0.3233333333333333,1.0
train_all_batches,max_selected_evidence_count,300,300,0.49666666666666665,0.1337733333333333,0.09684999999999995,-0.007020666666666667,0.38333333333333336,0.38666666666666666,1.0
train_all_batches,max_evidence_weights_count,300,300,0.49666666666666665,0.13385366666666665,0.09684999999999995,-0.0071010000000000005,0.38333333333333336,0.38666666666666666,1.0
train_all_batches,oracle_best_candidate,300,300,1.0,0.11063433333333329,0.0792499999999999,0.016118333333333314,0.56,0.5633333333333334,1.0
heldout_test72,random_expected,62,62,0.24758064516129022,0.17243518817204298,,0.00827287634408602,0.3489247311827957,0.3489247311827957,1.0
heldout_test72,gemma_recommended,62,53,0.39622641509433965,0.18209811320754712,0.1432999999999999,0.006330188679245276,0.37735849056603776,0.37735849056603776,0.8548387096774194
heldout_test72,first_candidate,62,62,0.4032258064516129,0.17882258064516124,0.139,0.0018854838709677412,0.3870967741935484,0.3870967741935484,1.0
heldout_test72,max_confidence,62,62,0.3709677419354839,0.1769419354838709,0.13804999999999995,0.0037661290322580725,0.24193548387096775,0.24193548387096775,1.0
heldout_test72,max_posterior,62,62,0.6290322580645161,0.1753096774193548,0.14199999999999996,0.005398387096774187,0.43548387096774194,0.43548387096774194,1.0
heldout_test72,min_posterior,62,62,0.5483870967741935,0.16935161290322578,0.1311,0.011356451612903233,0.25806451612903225,0.25806451612903225,1.0
heldout_test72,max_abs_update,62,62,0.6129032258064516,0.16572903225806443,0.13654999999999995,0.014979032258064517,0.45161290322580644,0.45161290322580644,1.0
heldout_test72,min_abs_update,62,62,0.3870967741935484,0.17295322580645162,0.13439999999999996,0.007754838709677424,0.16129032258064516,0.16129032258064516,1.0
heldout_test72,max_positive_update,62,62,0.6290322580645161,0.1753096774193548,0.14199999999999996,0.005398387096774187,0.43548387096774194,0.43548387096774194,1.0
heldout_test72,max_negative_update,62,62,0.5483870967741935,0.16935161290322578,0.1311,0.011356451612903233,0.25806451612903225,0.25806451612903225,1.0
heldout_test72,max_selected_evidence_count,62,62,0.43548387096774194,0.17578548387096768,0.13590000000000002,0.0049225806451612935,0.3709677419354839,0.3709677419354839,1.0
heldout_test72,max_evidence_weights_count,62,62,0.43548387096774194,0.17580967741935477,0.13590000000000002,0.004898387096774198,0.3870967741935484,0.3870967741935484,1.0
heldout_test72,oracle_best_candidate,62,62,1.0,0.13975322580645158,0.10694999999999995,0.04095483870967741,0.6451612903225806,0.6451612903225806,1.0
heldout_test72,core_relative_logit,62,62,0.532258064516129,0.16275806451612893,0.13494999999999996,0.017949999999999994,0.45161290322580644,0.45161290322580644,1.0
