dataset,stratum_type,stratum,selector,coverage_prompt_count,top1_rate,mean_selected_error,median_selected_error,mean_improvement_vs_persistence,positive_improvement_rate,direction_match_rate
train_all_batches,category,Politics,gemma_recommended,185,0.4864864864864865,0.13692918918918914,0.1011999999999999,-0.010016216216216216,0.3081081081081081,0.31351351351351353
train_all_batches,category,Companies,gemma_recommended,29,0.4482758620689655,0.16727931034482754,0.0962,-0.0030896551724137753,0.20689655172413793,0.20689655172413793
train_all_batches,category,Elections,gemma_recommended,19,0.6842105263157895,0.1354052631578947,0.1119,0.0020947368421052677,0.3684210526315789,0.3684210526315789
train_all_batches,category,Economics,gemma_recommended,48,0.4375,0.09939791666666663,0.08124999999999995,-0.004987500000000007,0.3958333333333333,0.3958333333333333
train_all_batches,category,Science and Technology,gemma_recommended,3,1.0,0.06646666666666663,0.0463,0.0016666666666666334,0.3333333333333333,0.3333333333333333
train_all_batches,market_direction,up,gemma_recommended,124,0.6129032258064516,0.12894919354838708,0.08365,0.011326612903225789,0.5645161290322581,0.5645161290322581
train_all_batches,market_direction,down,gemma_recommended,160,0.4,0.13585312499999996,0.10675000000000001,-0.022135624999999985,0.125,0.13125
train_all_batches,market_move_bin,large,gemma_recommended,72,0.4722222222222222,0.2516222222222222,0.2145,0.003709722222222227,0.375,0.375
train_all_batches,market_move_bin,medium,gemma_recommended,184,0.4673913043478261,0.09944402173913039,0.08725,-0.013248913043478264,0.29347826086956524,0.29891304347826086
train_all_batches,market_move_bin,small,gemma_recommended,28,0.7142857142857143,0.04684642857142853,0.049,0.001196428571428575,0.32142857142857145,0.32142857142857145
train_all_batches,valid_candidate_count,3,gemma_recommended,17,0.47058823529411764,0.15598823529411762,0.1231999999999999,-0.0006705882352941305,0.5294117647058824,0.5294117647058824
train_all_batches,valid_candidate_count,4,gemma_recommended,32,0.375,0.15062499999999995,0.09695000000000001,-0.012606250000000006,0.375,0.375
train_all_batches,valid_candidate_count,5,gemma_recommended,224,0.49107142857142855,0.13066517857142854,0.0989,-0.007794196428571426,0.29017857142857145,0.29464285714285715
train_all_batches,valid_candidate_count,2,gemma_recommended,7,0.8571428571428571,0.07304285714285715,0.0494,0.02269999999999997,0.5714285714285714,0.5714285714285714
train_all_batches,valid_candidate_count,1,gemma_recommended,4,1.0,0.11852499999999995,0.1164499999999999,-0.03384999999999995,0.0,0.0
train_all_batches,selected_explanation_class,source_credibility,gemma_recommended,148,0.4391891891891892,0.1443351351351351,0.10485,-0.014845270270270267,0.3581081081081081,0.36486486486486486
train_all_batches,selected_explanation_class,base_rate_calibration,gemma_recommended,84,0.42857142857142855,0.13062261904761902,0.10114999999999999,-0.005278571428571421,0.4166666666666667,0.4166666666666667
train_all_batches,selected_explanation_class,resolution_rule,gemma_recommended,29,0.41379310344827586,0.1157758620689655,0.0964999999999999,-0.004044827586206919,0.4482758620689655,0.4482758620689655
train_all_batches,selected_explanation_class,causal_chain,gemma_recommended,92,0.42391304347826086,0.1341815217391304,0.10485,-0.02112173913043479,0.43478260869565216,0.44565217391304346
train_all_batches,selected_explanation_class,direct_resolution,gemma_recommended,54,0.3148148148148148,0.15475370370370364,0.12419999999999999,-0.009407407407407406,0.46296296296296297,0.46296296296296297
train_all_batches,selected_explanation_class,trend_continuation,gemma_recommended,28,0.39285714285714285,0.15169642857142857,0.09584999999999995,0.004146428571428576,0.5,0.5
train_all_batches,selected_explanation_class,overreaction_correction,gemma_recommended,7,0.2857142857142857,0.22991428571428568,0.1229,-0.09025714285714284,0.2857142857142857,0.2857142857142857
train_all_batches,selected_explanation_class,evidence_irrelevance,gemma_recommended,87,0.6781609195402298,0.11827931034482757,0.0882,-0.0001988505747126425,0.022988505747126436,0.022988505747126436
train_all_batches,selected_explanation_class,market_microstructure,gemma_recommended,6,0.5,0.06971666666666666,0.058350000000000055,0.008549999999999934,0.6666666666666666,0.6666666666666666
train_all_batches,category,Politics,first_candidate,198,0.494949494949495,0.1373333333333333,0.10369999999999994,-0.010024242424242427,0.3484848484848485,0.35353535353535354
train_all_batches,category,Companies,first_candidate,30,0.5333333333333333,0.17965666666666666,0.10305,-0.0009233333333333164,0.3333333333333333,0.3333333333333333
train_all_batches,category,Elections,first_candidate,19,0.7368421052631579,0.13435263157894733,0.1119,0.003147368421052638,0.42105263157894735,0.42105263157894735
