feature,coef_std,odds_ratio_per_sd,abs_coef,mean,std
abs_explanation_delta_z,1.651045369273197,5.212425889974739,1.651045369273197,1.7946294299598416e-18,0.7604283567958592
magnitude_none,0.3000738875028276,1.34995854895724,0.3000738875028276,0.38060249816311537,0.48553500033994584
abs_explanation_delta_rank_desc,0.24535128809194492,1.2780702051988204,0.24535128809194492,2.8677443056576046,1.1515232779564248
magnitude_small,0.17603409788865101,1.192478718964028,0.17603409788865101,0.40925789860396766,0.491696930063868
confidence_rel_mean,0.15041023731979355,1.1623109682726833,0.15041023731979355,3.140601502429723e-18,0.08290200152275022
confidence_rank_asc,0.12175769068589254,1.129480385002208,0.12175769068589254,2.8677443056576046,1.139818996103461
abs_explanation_delta,0.11178826781251397,1.1182760605403164,0.11178826781251397,0.022509184423218198,0.04254104207680722
confidence,0.10715430847537011,1.1131060029181006,0.10715430847537011,0.818662747979427,2.5608434741687636
explanation_delta,0.09959896598514484,1.1047277958047612,0.09959896598514484,0.003563262307127103,0.04799694579980833
has_evidence_irrelevance,0.09838347978057857,1.1033858301447521,0.09838347978057857,0.37913299044819987,0.48517127491433887
class_evidence_irrelevance,0.09838347978057857,1.1033858301447521,0.09838347978057857,0.37913299044819987,0.48517127491433887
selected_evidence_count_rank_asc,0.097148273632767,1.1020237625742468,0.097148273632767,2.8677443056576046,0.8744449168345525
magnitude_moderate,0.09673943714407268,1.1015733071362825,0.09673943714407268,0.17854518736223365,0.3829710216609326
class_trend_continuation,0.07512769025558876,1.0780217949750706,0.07512769025558876,0.09331373989713446,0.29087159683190866
magnitude_large,0.07455360876582481,1.0774031002246072,0.07455360876582481,0.029390154298310066,0.16889752256510926
selected_evidence_count_z,0.05132232976169649,1.0526621429428173,0.05132232976169649,-7.667962109828413e-18,0.6494218306930785
class_resolution_rule,0.04560336982506407,1.0466591919997756,0.04560336982506407,0.06759735488611315,0.25105368449499804
selected_evidence_count,0.021744468983164903,1.0219826028481631,0.021744468983164903,1.4908155767817781,1.3912012778093006
posterior,0.020005017094366542,1.0202064584859916,0.020005017094366542,0.39714144011756064,0.2679689785455237
evidence_weights_count,0.018887586817741397,1.0190670856043045,0.018887586817741397,1.3277002204261572,1.3990249836900448
class_source_credibility,0.0178701498929904,1.0180307764016334,0.0178701498929904,0.4599559147685525,0.4983938916539573
class_base_rate_calibration,0.017402264353872796,1.0175545659376608,0.017402264353872796,0.319617927994122,0.4663285409438996
class_underreaction_correction,0.014161802851868611,1.0142625562365715,0.014161802851868611,0.005143277002204262,0.07153197679278028
abs_posterior_minus_0_5,0.0037803429184055585,1.0037874974273542,0.0037803429184055585,0.2514701689933872,0.13838356445133937
class_market_microstructure,0.003156993839792443,1.003161982393074,0.003156993839792443,0.025716385011021307,0.15828787873045186
explanation_delta_rel_mean,0.001771709776726787,1.0017732801817902,0.001771709776726787,4.0787032499087306e-20,0.029388972123296074
posterior_rel_mean,0.0017717097767104895,1.001773280181774,0.0017717097767104895,-5.659200759248364e-19,0.029388972123296088
class_other,0.0,1.0,0.0,0.0,0.0
evidence_weights_count_z,-0.004134731986309214,0.9958738042489225,0.004134731986309214,-6.6890733298503186e-18,0.6754865990389919
posterior_rank_desc,-0.010222746486488167,0.9898293281865836,0.010222746486488167,2.8677443056576046,1.1586793436789615
explanation_delta_rank_desc,-0.010222746486488167,0.9898293281865836,0.010222746486488167,2.8677443056576046,1.1586793436789615
selected_evidence_count_rel_mean,-0.017342977144971395,0.9828065466394753,0.017342977144971395,-3.997129184910556e-18,0.5976933373360949
class_direct_resolution,-0.018876771871474296,0.9813002785893578,0.018876771871474296,0.11021307861866275,0.3131551626910519
class_overreaction_correction,-0.04175064908315754,0.9591089054431667,0.04175064908315754,0.028655400440852314,0.16683605265777152
class_causal_chain,-0.049960806019722984,0.9512667076986505,0.049960806019722984,0.2975753122703894,0.4571916948037985
evidence_weights_count_rank_desc,-0.06882460385024836,0.9334903963415295,0.06882460385024836,2.8677443056576046,0.9082421091808742
explanation_delta_z,-0.08925233244499091,0.9146147574765027,0.08925233244499091,8.48370275981016e-18,0.761876333397766
posterior_z,-0.08925233244502141,0.9146147574764748,0.08925233244502141,5.873332679868572e-18,0.761876333397766
evidence_weights_count_rank_asc,-0.1424523437788237,0.8672288821589008,0.1424523437788237,2.8677443056576046,0.9082421091808742
selected_with_irrelevance,-0.14386147670999747,0.8660077019868536,0.14386147670999747,0.16825863335782512,0.37409579743480426
explanation_delta_rank_asc,-0.15538875041533382,0.8560823104329628,0.15538875041533382,2.8677443056576046,1.1586793436789615
posterior_rank_asc,-0.15538875041533382,0.8560823104329628,0.15538875041533382,2.8677443056576046,1.1586793436789615
confidence_z,-0.2776328060760512,0.7575749473657577,0.2776328060760512,3.915555119912382e-17,0.7728873696167845
confidence_rank_desc,-0.2901095265404471,0.7481816173466104,0.2901095265404471,2.8677443056576046,1.139818996103461
selected_evidence_count_rank_desc,-0.3165910502350797,0.7286286667280826,0.3165910502350797,2.8677443056576046,0.8744449168345525
evidence_weights_count_rel_mean,-0.35734364124417245,0.6995320683559433,0.35734364124417245,0.0,0.6651832626886053
abs_explanation_delta_rank_asc,-0.41199196675584165,0.6623295966861147,0.41199196675584165,2.8677443056576046,1.1515232779564248
abs_explanation_delta_rel_mean,-0.49434018456846357,0.6099732443070466,0.49434018456846357,-1.300086660908408e-19,0.021417027278155566
