dataset,feature,is_best_candidate,mean,median,std
train_all_batches,confidence,False,0.7445805843543827,0.8,0.1909068190170413
train_all_batches,confidence,True,0.7665551839464882,0.8,0.18260743679094416
train_all_batches,posterior,False,0.3976590951932139,0.345,0.2685208828967188
train_all_batches,posterior,True,0.39531066666666664,0.35,0.2668964013427706
train_all_batches,abs_explanation_delta,False,0.02152902921771911,0.0064,0.04289779193310468
train_all_batches,abs_explanation_delta,True,0.025975666666666643,0.01,0.04121070956882577
train_all_batches,selected_evidence_count,False,1.4816211121583411,1.0,1.393005306741672
train_all_batches,selected_evidence_count,True,1.5233333333333334,1.0,1.3889635059852186
train_all_batches,evidence_weights_count,False,1.3270499528746467,1.0,1.4120484472261132
train_all_batches,evidence_weights_count,True,1.33,1.0,1.3566755551246985
heldout_test72,confidence,False,0.7650234741784037,0.8,0.14211881958532444
heldout_test72,confidence,True,0.7556451612903226,0.775,0.15179387412575224
heldout_test72,posterior,False,0.4525136150234742,0.44,0.2792058143157464
heldout_test72,posterior,True,0.4463032258064516,0.41000000000000003,0.28585987279551756
heldout_test72,abs_explanation_delta,False,0.03316666666666664,0.0149999999999999,0.07244601156167926
heldout_test72,abs_explanation_delta,True,0.043899999999999974,0.019549999999999998,0.08271758589558476
heldout_test72,selected_evidence_count,False,1.7934272300469483,1.0,1.5884470850756143
heldout_test72,selected_evidence_count,True,1.9193548387096775,1.0,1.6124351515416124
heldout_test72,evidence_weights_count,False,1.4553990610328638,1.0,1.458265788142559
heldout_test72,evidence_weights_count,True,1.5161290322580645,1.0,1.4903177731762274
