dataset,stratum_type,stratum,prompt_count,mean_persistence_error,mean_best_error,median_best_error,p75_best_error,mean_oracle_improvement,mean_oracle_error_reduction_ratio,helpful_candidate_available_rate,best_direction_match_rate,any_direction_match_rate,target_bracketed_rate,magnitude_cover_rate,multi_direction_rate,all_flat_rate,within_1pp_rate,within_2pp_rate,within_5pp_rate,within_10pp_rate,over_20pp_rate,mean_candidate_range,median_candidate_range,mean_candidate_range_fraction_of_market_move,median_best_delta_fraction_of_market_move_when_direction_match
train_all_batches,overall,all,300,0.12675266666666662,0.11063433333333329,0.0792499999999999,0.1335999999999999,0.016118333333333332,0.14914527849104592,0.56,0.5633333333333334,0.5633333333333334,0.04666666666666667,0.05333333333333334,0.6,0.21,0.04,0.06666666666666667,0.28,0.64,0.12333333333333334,0.042917,0.020000000000000018,0.4103691214628318,0.247663551401868
train_all_batches,category,Politics,198,0.12730909090909087,0.11105555555555552,0.0792499999999999,0.14234999999999992,0.01625353535353535,0.13858217844029158,0.5454545454545454,0.5505050505050505,0.5505050505050505,0.050505050505050504,0.06060606060606061,0.5858585858585859,0.20707070707070707,0.04040404040404041,0.06565656565656566,0.2676767676767677,0.6212121212121212,0.12626262626262627,0.04721010101010101,0.020000000000000018,0.437853778864989,0.2747252747252734
train_all_batches,category,Companies,30,0.1787333333333333,0.16862333333333332,0.08834999999999996,0.2049749999999999,0.010110000000000001,0.09827236751198297,0.6,0.6,0.6,0.06666666666666667,0.06666666666666667,0.6,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.6,0.26666666666666666,0.026733333333333335,0.02000000000000001,0.23776269972244543,0.08441591245584512
train_all_batches,category,Elections,19,0.13749999999999996,0.11758421052631575,0.0804,0.1707999999999999,0.01991578947368421,0.1484438694205734,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.10526315789473684,0.10526315789473684,0.5263157894736842,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.5789473684210527,0.15789473684210525,0.04207368421052631,0.030000000000000027,0.3523324462650271,0.2442002442002445
train_all_batches,category,Economics,50,0.09279399999999997,0.07418199999999996,0.06479999999999995,0.09815,0.018612000000000004,0.22986163851670205,0.6,0.6,0.6,0.0,0.0,0.7,0.16,0.04,0.08,0.38,0.76,0.02,0.038422,0.027499999999999997,0.45091730013844544,0.32882687029538776
train_all_batches,category,Science and Technology,3,0.06813333333333327,0.06646666666666663,0.0463,0.0793,0.0016666666666666358,0.014208581983517793,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0016666666666666635,0.0,0.014208581983518029,0.04262574595055332
train_all_batches,market_direction,up,134,0.14399104477611938,0.1203791044776119,0.0778999999999999,0.1345,0.02361194029850746,0.21451724589338428,0.7313432835820896,0.7313432835820896,0.7313432835820896,0.029850746268656716,0.03731343283582089,0.5746268656716418,0.1865671641791045,0.03731343283582089,0.07462686567164178,0.3283582089552239,0.6567164179104478,0.1417910447761194,0.040920895522388055,0.020000000000000018,0.3350522606660884,0.27961954012374113
train_all_batches,market_direction,down,166,0.11283734939759033,0.10276807228915659,0.0792499999999999,0.129,0.010069277108433736,0.09637513613012218,0.42168674698795183,0.42771084337349397,0.42771084337349397,0.060240963855421686,0.06626506024096386,0.6204819277108434,0.2289156626506024,0.04216867469879518,0.060240963855421686,0.24096385542168675,0.6265060240963856,0.10843373493975904,0.04452831325301205,0.02165000000000001,0.4711670693349017,0.21528525296017115
train_all_batches,market_move_bin,large,76,0.26116710526315784,0.23461315789473675,0.18839999999999996,0.2668499999999999,0.02655394736842106,0.12452297968273125,0.631578947368421,0.631578947368421,0.631578947368421,0.02631578947368421,0.02631578947368421,0.6578947368421053,0.19736842105263158,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.4342105263157895,0.04947631578947368,0.038000000000000006,0.21438769138141933,0.13928732637769353
train_all_batches,market_move_bin,medium,195,0.08606153846153841,0.07279435897435894,0.067,0.0925499999999999,0.013267179487179485,0.15584422369745968,0.5435897435897435,0.5487179487179488,0.5487179487179488,0.05128205128205128,0.06153846153846154,0.6153846153846154,0.18974358974358974,0.035897435897435895,0.07692307692307693,0.28205128205128205,0.8051282051282052,0.020512820512820513,0.04482871794871795,0.020000000000000018,0.5075278595283882,0.35153129161118507
train_all_batches,market_move_bin,small,29,0.04810689655172411,0.040165517241379275,0.0417999999999999,0.0498999999999999,0.00794137931034483,0.16862805070419198,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.06896551724137931,0.06896551724137931,0.3448275862068966,0.3793103448275862,0.10344827586206896,0.10344827586206896,0.9310344827586207,1.0,0.0,0.01287241379310345,0.0,0.270666871925033,0.3868475991649263
